device,location,hostname,slaveid,register,condition,type,threshold,level,value,set_pcs_list
PCS1,戶外,PCS_PCS1,A,,連線逾時,,,protection,,PCS1
PCS1,戶外,PCS_PCS1,B,,連線被拒,,,protection,,PCS1
PCS1,戶外,PCS_PCS1,C,,無法連接到主機,,,protection,,PCS1
PCS1,戶外,PCS_PCS1,D,,通訊異常,,,protection,,PCS1
PCS2,戶外,PCS_PCS2,A,,連線逾時,,,protection,,PCS2
PCS2,戶外,PCS_PCS2,B,,連線被拒,,,protection,,PCS2
PCS2,戶外,PCS_PCS2,C,,無法連接到主機,,,protection,,PCS2
PCS2,戶外,PCS_PCS2,D,,通訊異常,,,protection,,PCS2
儲能櫃1_1,戶外,BESS1_overview,A,,連線逾時,,,warning,,
儲能櫃1_1,戶外,BESS1_overview,B,,連線被拒,,,warning,,
儲能櫃1_1,戶外,BESS1_overview,C,,無法連接到主機,,,warning,,
儲能櫃1_1,戶外,BESS1_overview,D,,通訊異常,,,warning,,
儲能櫃1_2,戶外,BESS3_overview,A,,連線逾時,,,warning,,
儲能櫃1_2,戶外,BESS3_overview,B,,連線被拒,,,warning,,
儲能櫃1_2,戶外,BESS3_overview,C,,無法連接到主機,,,warning,,
儲能櫃1_2,戶外,BESS3_overview,D,,通訊異常,,,warning,,
儲能櫃2_1,戶外,BESS2_overview,A,,連線逾時,,,warning,,
儲能櫃2_1,戶外,BESS2_overview,B,,連線被拒,,,warning,,
儲能櫃2_1,戶外,BESS2_overview,C,,無法連接到主機,,,warning,,
儲能櫃2_1,戶外,BESS2_overview,D,,通訊異常,,,warning,,
儲能櫃2_2,戶外,BESS4_overview,A,,連線逾時,,,warning,,
儲能櫃2_2,戶外,BESS4_overview,B,,連線被拒,,,warning,,
儲能櫃2_2,戶外,BESS4_overview,C,,無法連接到主機,,,warning,,
儲能櫃2_2,戶外,BESS4_overview,D,,通訊異常,,,warning,,
保護電驛 _MAIN,MAIN盤,IED_IEDMAIN,A,,連線逾時,,,warning,,
保護電驛 _MAIN,MAIN盤,IED_IEDMAIN,B,,連線被拒,,,warning,,
保護電驛 _MAIN,MAIN盤,IED_IEDMAIN,C,,無法連接到主機,,,warning,,
保護電驛 _MAIN,MAIN盤,IED_IEDMAIN,D,,通訊異常,,,warning,,
保護電驛 _ESSI,ESS1盤,IED_IED1,A,,連線逾時,,,warning,,
保護電驛 _ESSI,ESS1盤,IED_IED1,B,,連線被拒,,,warning,,
保護電驛 _ESSI,ESS1盤,IED_IED1,C,,無法連接到主機,,,warning,,
保護電驛 _ESSI,ESS1盤,IED_IED1,D,,通訊異常,,,warning,,
保護電驛 _ESS2,ESS2盤,IED_IED2,A,,連線逾時,,,warning,,
